Feedback_Excitation	Feedback_Inhibition	Continuum_Step	bus_Size	rush_Size	Avg_Size
0.04	-0.02	6	0.0	0.0	0.0
0.04	-0.01	0	0.087250054	-0.00016319752	0.04354343
0.04	-0.01	1	0.11641891	-0.016172588	0.050123163
0.04	-0.01	2	0.16548887	-0.047960103	0.058764383
0.04	-0.01	3	0.007130027	0.022443771	0.014786899
0.04	-0.01	4	-0.0699541	0.18400833	0.057027116
0.04	-0.01	5	-0.022576809	0.14268857	0.06005588
0.04	-0.01	6	0.0	0.075009815	0.037504908
0.04	0.0	0	0.18978764	-0.08288729	0.053450175
0.04	0.0	1	0.19867012	-0.13284123	0.032914445
0.04	0.0	2	0.22741105	-0.16468775	0.031361647
0.04	0.0	3	0.010935247	0.0180991	0.014517173
0.04	0.0	4	-0.16749966	0.2251162	0.028808266
0.04	0.0	5	-0.14842743	0.19826525	0.024918914
0.04	0.0	6	-0.13597912	0.15174906	0.007884972
0.05	-0.15	0	0.0	0.0	0.0
0.05	-0.15	1	0.0	0.0	0.0
0.05	-0.15	2	0.0	0.0	0.0
0.05	-0.15	3	0.056269467	0.1575033	0.10688639
0.05	-0.15	4	0.0	0.0	0.0
