NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	0.0	14	0.04	56.81395348837209	0.4056603773584906
0.15	0.0	14	0.05	61.224489795918366	0.23113207547169812
0.15	0.0	14	0.06	57.34375	0.1509433962264151
0.15	0.0	14	0.07	57.583333333333336	0.11320754716981132
0.15	0.0	14	0.08	56.588235294117645	0.08018867924528301
0.15	0.0	14	0.09	60.1875	0.07547169811320754
0.15	0.0	14	0.1	62.92307692307692	0.06132075471698113
0.15	0.0	14	0.11	61.3	0.04716981132075472
0.15	0.0	14	0.12	40.0	0.018867924528301886
0.15	0.0	14	0.13	47.333333333333336	0.014150943396226415
0.15	0.0	14	0.14	31.0	0.014150943396226415
0.15	0.0	14	0.15	26.5	0.009433962264150943
0.15	0.0	15	0	38.08612440191388	0.9858490566037735
0.15	0.0	15	0.01	40.642857142857146	0.9245283018867925
0.15	0.0	15	0.02	48.95266272189349	0.7971698113207547
0.15	0.0	15	0.03	52.91228070175438	0.5377358490566038
0.15	0.0	15	0.04	56.58139534883721	0.4056603773584906
0.15	0.0	15	0.05	58.76086956521739	0.2169811320754717
0.15	0.0	15	0.06	58.3125	0.1509433962264151
0.15	0.0	15	0.07	59.64	0.1179245283018868
0.15	0.0	15	0.08	57.27777777777778	0.08490566037735849
0.15	0.0	15	0.09	58.875	0.07547169811320754
0.15	0.0	15	0.1	62.18181818181818	0.05188679245283019
0.15	0.0	15	0.11	59.125	0.03773584905660377
0.15	0.0	15	0.12	54.4	0.02358490566037736
0.15	0.0	15	0.13	48.0	0.014150943396226415
0.15	0.0	15	0.14	35.0	0.009433962264150943
0.15	0.0	15	0.15	14.0	0.009433962264150943
0.15	-0.001	0	0	37.11904761904762	0.9905660377358491
0.15	-0.001	0	0.01	37.90909090909091	0.9858490566037735
0.15	-0.001	0	0.02	39.94685990338164	0.9764150943396226
0.15	-0.001	0	0.03	42.691489361702125	0.8867924528301887
0.15	-0.001	0	0.04	47.85875706214689	0.8349056603773585
0.15	-0.001	0	0.05	50.29530201342282	0.7028301886792453
0.15	-0.001	0	0.06	53.28688524590164	0.5754716981132075
0.15	-0.001	0	0.07	58.55913978494624	0.4386792452830189
0.15	-0.001	0	0.08	57.45161290322581	0.29245283018867924
0.15	-0.001	0	0.09	60.048780487804876	0.19339622641509435
0.15	-0.001	0	0.1	56.51851851851852	0.12735849056603774
0.15	-0.001	0	0.11	50.529411764705884	0.08018867924528301
0.15	-0.001	0	0.12	51.0	0.06132075471698113
0.15	-0.001	0	0.13	43.4	0.04716981132075472
