Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.14	52	0.49839234	0.0	0.0	0.4964212	0.0010113966	0.0007401838	0.00090837065	0.0009937796
0.0	-0.14	53	0.49836582	0.0	0.0	0.49660414	0.0008603366	0.0006192152	0.0007637434	0.0008581025
0.0	-0.14	54	0.49832034	0.0	0.0	0.4967787	0.0007316234	0.000517426	0.00064159563	0.0007412841
0.0	-0.14	55	0.49825665	0.0	0.0	0.49694505	0.0006220073	0.0004318844	0.0005385395	0.0006406629
0.0	-0.14	56	0.49817553	0.0	0.0	0.49710348	0.0005286988	0.00036008755	0.0004516667	0.00055395754
0.0	-0.14	57	0.49807787	0.0	0.0	0.4972542	0.00044930537	0.0002999018	0.00037849584	0.00047920705
0.0	-0.14	58	0.4979646	0.0	0.0	0.49739748	0.00038177744	0.000249511	0.0003169167	0.00041473142
0.0	-0.14	59	0.4978366	0.0	0.0	0.49753368	0.00032436085	0.0002073717	0.0002651373	0.00035909202
0.0	-0.14	60	0.49769476	0.0	0.0	0.49766302	0.00027555577	0.00017217411	0.00022163612	0.00031105595
0.0	-0.14	61	0.49754	0.0	0.0	0.4977858	0.00023408094	0.00014280854	0.00018512201	0.00026956564
0.0	-0.14	62	0.49737307	0.0	0.0	0.49790233	0.00019884283	0.00011833625	0.00015449992	0.00023371336
0.0	-0.14	63	0.49719483	0.0	0.0	0.4980129	0.00016890871	9.796429e-05	0.00012884183	0.00020271943
0.0	-0.14	64	0.49700594	0.0	0.0	0.49811774	0.00014348373	8.102388e-05	0.000107361906	0.00017591381
0.0	-0.14	65	0.4968071	0.0	0.0	0.4982172	0.00012189092	6.6951805e-05	8.939537e-05	0.00015272046
0.0	-0.14	66	0.496599	0.0	0.0	0.49831146	0.000103554004	5.52744e-05	7.438037e-05	0.00013264385
0.0	-0.14	67	0.49638218	0.0	0.0	0.49840084	8.798274e-05	4.5593883e-05	6.184253e-05	0.00011525751
0.0	-0.14	68	0.49615723	0.0	0.0	0.49848557	7.476024e-05	3.7576643e-05	5.138177e-05	0.00010019434
