TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
bit	slex	0.3	0	20	Activation	Peak	1	100	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Activation	Max	1	33	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Activation	Abz	1	48	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Activation	Diff	1	46	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Activation	CDiff	1	57	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Probability	Peak	1	100	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Probability	Max	1	33	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Probability	Abz	1	50	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Probability	Diff	1	37	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
bit	slex	0.3	0	20	Probability	CDiff	1	48	23	3	3	0	bit	3	8	7	48	3	1	1	1	1	2	1	5
blak	slex	0.3	0	20	Activation	Peak	1	97	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Activation	Max	1	32	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Activation	Abz	1	42	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Activation	Diff	1	36	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Activation	CDiff	1	56	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Probability	Peak	1	97	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Probability	Max	1	32	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Probability	Abz	1	42	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Probability	Diff	1	36	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blak	slex	0.3	0	20	Probability	CDiff	1	44	29	4	3	6	blak	3	3	3	6	2	1	1	0	2	1	0	2
blu	slex	0.3	0	20	Activation	Peak	1	67	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Activation	Max	1	23	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Activation	Abz	1	41	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Activation	Diff	1	31	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Activation	CDiff	1	57	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Probability	Peak	1	100	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Probability	Max	1	23	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Probability	Abz	1	41	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Probability	Diff	1	33	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
blu	slex	0.3	0	20	Probability	CDiff	1	45	23	3	3	0	blu	3	3	3	11	1	1	0	2	1	0	0	3
